a	一；一个；每一；任一
alter	改变；变更；修改
alternative	可供选择的；替代的；选择；替代物
although	虽然；尽管；然而
always	总是；永远；一直
AM	上午；午前；调频调幅
amazing	令人惊奇的；惊人的；了不起的
American	美国的；美国人的；美国人
among	在…之中；在…中间；…之一
amount	数量；数额；总计；等于
analysis	分析；分析研究；分解
analyst	分析者；分析家；化验员
analyze	分析；研究；分解
ancient	古代的；古老的；古人
and	和；与；而且；然后
anger	愤怒；生气；使发怒；激怒
angle	角；角度；观点；斜移
angry	生气的；愤怒的
animal	动物；野兽；动物的
anniversary	周年纪念；周年纪念日
announce	宣布；宣告；预告；播报
annual	每年的；年度的；年鉴
another	另一个；又一；再一；别的
answer	回答；答复；答案；回答；回复
anticipate	预期；预料；期望；提前使用
anxiety	焦虑；忧虑；担心；渴望
any	任何；一些；无论哪个；无论哪些
anybody	任何人；无论谁
anymore	不再；再也不
anyone	任何人；无论谁
anything	任何事物；任何东西；无论什么
anyway	无论如何；不管怎样；总之
anywhere	任何地方；无论何处
apart	分离；分开；相隔；相距
apartment	公寓；房间；套房
apparent	明显的；显而易见的；表面的
apparently	显然；看起来；似乎
appeal	上诉；申诉；呼吁；恳求；吸引力；感染力
appear	出现；显现；似乎；看来
appearance	出现；露面；外貌；外表
apple	苹果
application	申请；申请表；应用；运用
apply	申请；应用；适用；涂；敷
appoint	任命；委任；约定；指定
appointment	约会；预约；任命；委派
appreciate	欣赏；赏识；感谢；感激
approach	接近；靠近；方法；途径；探讨
appropriate	适当的；恰当的；相称的；拨款
approval	批准；认可；同意；赞成
approve	赞成；同意；批准；通过
approximately	大约；大概；近似地
Arab	阿拉伯的；阿拉伯人的；阿拉伯人；阿拉伯语
architect	建筑师；设计师
area	面积；区域；地区；范围
argue	争论；辩论；说服；表明
argument	争论；辩论；论点；论据
arise	出现；发生；升起；起来
arm	手臂；胳膊；武器；装备；武装
armed	武装的；有武器的；装备齐全的
army	军队；陆军；大军；大群
around	在…周围；到处；大约；左右
arrange	安排；整理；排列；筹备
arrangement	安排；准备；整理；排列
arrest	逮捕；拘留；阻止；吸引
arrival	到达；抵达；到达者
arrive	到达；抵达；到来；来临
art	艺术；美术；艺术品；技艺
article	文章；论文；条款；物品；冠词
artist	艺术家；美术家；大师
artistic	艺术的；美术的；有艺术修养的
as	像；如同；作为；当作；因为；当…时
Asian	亚洲的；亚洲人的；亚洲人
aside	在旁边；到旁边；离开；撇开
ask	问；询问；请求；要求；邀请
asleep	睡着的；睡熟的
aspect	方面；层面；外观；样子
assault	攻击；袭击；突袭；强奸；猥亵
assert	断言；宣称；坚持；维护
assess	评估；评价；评定
assessment	评估；评价；评定
asset	资产；财产；有用的人；优点
assign	分配；指派；选派；指定
assignment	分配；指派；作业；任务；作业
assist	帮助；协助；援助
assistance	帮助；协助；援助
assistant	助手；助理；助教；助理的
associate	联想；联系；交往；伙伴；同事
association	协会；社团；联合；联想
assume	假定；假设；承担；呈现
assumption	假定；假设；承担；担任
assure	向…保证；使确信；确保
at	在；在…里；在…上；向；朝；因为
athlete	运动员；体育家
athletic	运动的；体育的；运动员的
atmosphere	大气；空气；气氛；氛围
attach	系；贴；连接；附加；使依恋
attack	攻击；进攻；抨击；侵袭；发作
attempt	试图；尝试；企图；努力
attend	出席；参加；照料；护理；注意
attention	注意；专心；关心；照料
attitude	态度；看法；姿势
attorney	律师；代理人
attract	吸引；引起…的注意；引诱
attractive	有吸引力的；迷人的；诱人的
attribute	把…归因于；认为…属于；属性；特征；性质
audience	观众；听众；读者；谒见
author	作者；作家；创始人；发起人
authority	权威；权力；当局；官方
auto	汽车；自动的；汽车的
available	可获得的；可利用的；有空的
average	平均的；普通的；平均数；平均
avoid	避免；避开；防止
award	奖；奖品；奖金；授予；判给
aware	意识到的；知道的；有认识的
awareness	意识；认识；觉悟；了解
away	离开；远离；…去；…掉
awful	可怕的；糟糕的；极坏的
baby	婴儿；宝贝；孩子气的人；幼小的
back	后面；背部；向后；回；回来；支持
background	背景；经历；幕后；底色
bad	坏的；不好的；严重的；有害的
badly	坏；恶劣地；严重地；非常
bag	袋；包；猎获物；把…装进袋
bake	烤；烘焙；烘干；灼热
balance	平衡；均衡；天平；称；余额
ball	球；球状物；舞会；丸；炮弹
ban	禁止；禁令；取缔
band	乐队；带；箍；群；伙；用带绑扎
bank	银行；岸；堤；储蓄；堆积
bar	条；棒；酒吧；柜台；闩；禁止
barely	几乎不；仅仅；勉强；刚刚
barrel	桶；一桶；枪管；炮筒；把…装入桶；高速行驶
barrier	障碍物；屏障；隔阂；关卡
base	基础；底部；基地；根基；以…为基础
baseball	棒球；棒球运动
basic	基本的；基础的；基础；要素
basically	基本上；主要地；大体上
basis	基础；根据；主要成分
basket	篮；篓；筐；一篮之量
basketball	篮球；篮球运动
bathroom	浴室；盥洗室；卫生间
battery	电池；蓄电池；一系列；炮兵连
battle	战斗；战役；斗争；作战；搏斗
be	是；有；在；存在；发生；成为
beach	海滩；沙滩；湖滨；海滨
bean	豆；蚕豆；豆科植物
bear	熊；忍受；承担；生育；结（果实）
beat	打；击；打败；战胜；跳动；拍子
beautiful	美丽的；美好的；出色的
beauty	美；美丽；美人；美景；妙处
because	因为；由于
become	成为；变成；变得；变得适合
bed	床；床位；河床；层；睡觉
bedroom	卧室；寝室
beer	啤酒；一杯啤酒
before	在…之前；以前；前面；在前
begin	开始；着手；开始进行；始于
beginning	开始；开端；起源；初期
behavior	行为；举止；表现；态度
behind	在…后面；落后于；在后面；落后
being	存在；生存；生命；人；生物；是
belief	信仰；信念；相信；信任
believe	相信；认为；信任；信仰
bell	钟；铃；钟声；铃声；敲钟
belong	属于；应归入；适宜于
below	在…下面；低于；在下面；下文
belt	带；腰带；地带；用带系；用力打
bench	长凳；工作台；法官；法官席
bend	弯曲；屈服；转弯；弯曲处
beneath	在…之下；低于；在下面
benefit	利益；好处；益处；有益于；得益
beside	在…旁边；在…附近；与…相比
besides	除…之外；而且；还有；此外
best	最好的；最；最好；胜过
bet	打赌；赌；赌注；确信
better	更好的；更好地；改善；胜过
between	在…之间；在…中间；在…之中
beyond	超过；越过；在远处；那边
Bible	圣经；权威著作；经典
big	大的；重要的；重大的；巨大的
bike	自行车；摩托车；骑自行车
bill	账单；法案；议案；钞票；清单
billion	十亿；万亿；大量；无数
bind	捆绑；包扎；装订；约束；粘合
biological	生物学的；生物的；生物的
bird	鸟；禽；家伙；羽毛球
birth	出生；诞生；分娩；起源；出身
birthday	生日；诞辰；成立纪念日
bit	一点；一些；少量；片刻；钻头
bite	咬；叮；蛰；咬伤；一口
black	黑色的；黑暗的；黑色；黑人；弄黑
blade	刀片；刀刃；叶片；桨叶
blame	责备；责怪；归咎于；过错；责任
blanket	毛毯；毯子；覆盖；笼罩
blind	盲的；瞎的；失明的；盲人；使失明
block	块；街区；大楼；阻碍；阻止
blood	血；血液；血统；家世
blow	吹；刮；吹气；爆炸；打击；猛击
blue	蓝色的；蓝色；沮丧的；忧郁的
board	板；木板；董事会；膳食；上船
boat	小船；艇；划船；用船运
body	身体；躯体；主体；团体；尸体
bomb	炸弹；轰炸；投弹；攻击
bombing	轰炸；投弹；袭击
bond	结合；债券；契约；粘合剂；使结合
bone	骨；骨头；骨质；骨骼；剔骨头
book	书；书籍；本子；预订；登记
boom	繁荣；兴旺；隆隆声；激增；暴涨
boot	靴子；靴；解雇；猛踢；启动
border	边；边缘；边界；边疆；接壤；接近
born	出生的；天生的；生来就有的；产生
borrow	借；借用；借入；采用
boss	老板；上司；工头；首领；指挥；控制
both	两者都；双方都；两个；不仅…而且
bother	打扰；麻烦；操心；烦恼；麻烦事
bottle	瓶子；一瓶；把…装入瓶
bottom	底部；底；尽头；末端；最低的
boundary	边界；分界线；界限；范围
bowl	碗；钵；一碗之量；滚木球
box	箱；盒；包厢；拳击；耳光；拳击
boy	男孩；少年；儿子；男仆；家伙
boyfriend	男朋友；情人
brain	脑；大脑；头脑；智慧；智力
branch	树枝；分枝；分部；分店；分支
brand	商标；品牌；烙印；污名；打烙印
bread	面包；生计；食物；钱
break	打破；折断；中断；休息；破裂；破晓
breakfast	早餐；早饭；吃早餐
breast	乳房；胸脯；胸部；胸怀；内心
breath	呼吸；气息；微风；瞬间
breathe	呼吸；喘气；低语；松口气
brick	砖；砖块；积木；用砖砌
bridge	桥；桥梁；桥牌；架桥；渡过
brief	简短的；短暂的；摘要；简报
briefly	简短地；简要地；短暂地
bright	明亮的；聪明的；鲜艳的；愉快的
brilliant	灿烂的；明亮的；杰出的；卓越的
bring	带来；拿来；使产生；引起；促使
British	英国的；不列颠的；英国人；不列颠人
broad	宽阔的；广阔的；广泛的；概括的
broken	破碎的；损坏的；中断的；不连贯的
brother	兄弟；同胞；教友；同事
brown	棕色的；褐色的；棕色；褐色；使成褐色
brush	刷子；画笔；刷；擦；拂；掠过
buck	雄鹿；公羊；美元；抵抗；反抗
budget	预算；预算费；安排；规划
build	建造；建筑；建设；建立；体型
building	建筑物；房屋；大楼；建筑
bullet	子弹；枪弹；弹丸
bunch	串；束；群；伙；集中；挤在一起
burden	负担；重任；装载；烦扰
burn	燃烧；烧；烧焦；烧伤；灼伤
bury	埋葬；掩埋；隐藏；埋头于
bus	公共汽车；汽车；用公共汽车运送
business	商业；生意；业务；企业；职责
busy	忙的；繁忙的；热闹的；使忙于
but	但是；可是；而是；除了；除非
butter	黄油；奶油；涂黄油于；巴结
button	纽扣；按钮；扣上；扣紧
buy	买；购买；收买；换取；便宜货
buyer	买方；买主；购买者
by	在…旁边；靠近；被；由；通过；经过
cabin	小屋；船舱；机舱；小木屋
cabinet	内阁；橱柜；陈列柜；小房间
cable	电缆；缆绳；电报；发电报
cake	蛋糕；糕饼；饼状物；结块
calculate	计算；估算；计划；打算
call	叫；喊；打电话；称呼；认为；访问
camera	照相机；摄影机；摄像机
camp	营地；野营；帐篷；露营；扎营
campaign	运动；战役；参加运动；作战
campus	校园；大学；校区
can	能够；可以；能；可能；会；罐头
Canadian	加拿大的；加拿大人的；加拿大人
cancer	癌症；癌；肿瘤；弊端；恶习
candidate	候选人；候补者；应试者；投考者
cap	帽子；盖；罩；盖子；给…戴帽；覆盖
capability	能力；才能；性能；容量
capable	有能力的；有才能的；能够的
capacity	容量；能力；身份；职位；才能
capital	首都；首府；资本；资金；大写字母；首都的
captain	船长；机长；队长；上尉；率领
capture	捕获；俘获；占领；俘虏；占领；引起
car	汽车；轿车；车厢；车辆
carbon	碳；复写纸；复写的副本
card	卡片；名片；纸牌；明信片；身份证
care	关心；在意；小心；照料；忧虑
career	生涯；职业；事业；全速；猛冲
careful	仔细的；小心的；谨慎的；精心的
carefully	仔细地；小心地；谨慎地
carrier	运送者；运输公司；载体；航空母舰
carry	携带；搬运；运送；传播；支撑；包含
case	情况；实例；箱；盒；案件；案例
cash	现金；现款；兑换现金；支付现款
cast	投；掷；抛；浇铸；铸造；演员表
cat	猫；猫科动物；家伙；人
catch	抓住；接住；赶上；理解；感染；捕获
category	类别；种类；范畴；类型
Catholic	天主教的；天主教徒
cause	原因；起因；事业；目标；引起；使发生
ceiling	天花板；顶棚；最高限度；最大限额
celebrate	庆祝；举行；颂扬；赞美
celebration	庆祝；庆典；庆祝会
celebrity	名人；名流；名誉；名声
cell	细胞；小房间；电池；牢房；手机
center	中心；中央；中心点；居中；使集中
central	中央的；中心的；主要的；核心的
century	世纪；百年；一百个；板球中的一百分
CEO	首席执行官；总裁
ceremony	典礼；仪式；礼节；客套
certain	确定的；无疑的；肯定的；某种；某些
certainly	当然；一定；无疑；必定
chain	链；链条；一系列；连锁店；用链条拴住
chair	椅子；主席；主席职位；主持；担任主席
chairman	主席；议长；董事长；会长
challenge	挑战；艰巨的任务；质疑；向…挑战
chamber	室；房间；会议厅；议院；会所
champion	冠军；优胜者；拥护者；捍卫；支持
championship	锦标赛；冠军头衔；冠军地位
chance	机会；机遇；可能性；运气；碰巧；偶然发生
change	改变；变化；更换；兑换；零钱；变化
changing	变化的；改变的；更换；兑换
channel	海峡；水道；频道；渠道；途径；引导
chapter	章；回；篇；时期；时代
character	性格；品质；角色；人物；字符；特性
characteristic	特有的；典型的；特征；特点
characterize	表示…的特性；描述…的特征；成为…的特征
charge	索价；要价；充电；指控；主管；费用
charity	慈善；施舍；慈善机构；宽厚
chart	图表；海图；航线图；制图；绘制图表
chase	追逐；追捕；追求；追赶；争取
cheap	便宜的；廉价的；劣质的；低劣的
check	检查；核对；支票；制止；阻止；检查
cheek	面颊；脸蛋；厚脸皮；厚颜
cheese	奶酪；干酪；重要的东西；大人物
chef	厨师；主厨；大厨
chemical	化学的；化学制品；化学药品
chest	胸部；胸膛；箱子；柜子；金库
chicken	鸡；小鸡；鸡肉；胆小的；懦夫
chief	主要的；首要的；首领；领袖；酋长
child	小孩；儿童；孩子；子女；产物
childhood	童年；幼年；孩提时代
Chinese	中国的；中国人的；汉语的；中国人；汉语
chip	芯片；薯条；碎片；削；凿；切成小块
chocolate	巧克力；巧克力糖；巧克力色；深褐色
choice	选择；抉择；选择权；精选的；上等的
cholesterol	胆固醇
choose	选择；挑选；决定；宁愿；情愿
Christian	基督教的；基督徒；基督教徒
Christmas	圣诞节；圣诞节期间
church	教堂；教会；礼拜；教派；教派的
cigarette	香烟；纸烟；卷烟
circle	圆；圆圈；圈子；界；环绕；盘旋
circumstance	情况；环境；形势；境况；详情
cite	引用；引证；举（例子）；传讯；表彰
citizen	公民；市民；平民；居民
city	城市；都市；全市居民；城市的
civil	公民的；市民的；民用的；文明的；国内的
civilian	平民；百姓；民用的；民间的
claim	声称；主张；要求；索取；断言；权利；要求权
class	班级；课；阶级；等级；种类；分类
classic	优秀的；经典的；名著；杰作；古典作品
classroom	教室；课堂
clean	清洁的；干净的；清白的；打扫；弄干净
clear	清楚的；清晰的；晴朗的；清澈的；清除；澄清
clearly	清楚地；清晰地；显然；无疑地
client	客户；顾客；委托人；当事人
climate	气候；气候区；风气；环境气氛
climb	爬；攀登；上升；增长；爬山；爬
clinic	诊所；门诊部；临床教学
clinical	临床的；诊所的；冷静的；客观的
clock	时钟；钟；仪表；计时；打卡
close	关；关闭；接近；亲密的；结束；结尾；关闭的
closely	紧密地；密切地；接近地；仔细地
closer	更近的；更接近的；关闭器；闭合器
clothes	衣服；服装；被褥；床上用品
clothing	服装；衣着；被褥
cloud	云；阴云；云状物；一大群；使布满云；使忧郁
club	俱乐部；社团；棍棒；球棒；用棒打；联合
clue	线索；提示；暗示；为…提供线索
cluster	群；组；簇；串；群集；丛生
coach	教练；指导；长途汽车；四轮马车；训练；辅导
coal	煤；煤炭；炭块；给…加煤；装煤
coalition	联盟；联合；结合；同盟
coast	海岸；海滨；沿海地区；滑行；沿岸航行
coat	外套；上衣；层；涂层；给…穿外套；涂上
code	代码；密码；编码；法典；法规；编码；译码
coffee	咖啡；咖啡粉；一杯咖啡
cognitive	认知的；认识的；感知的
cold	冷的；寒冷的；冷淡的；感冒；伤风；寒冷
collapse	倒塌；崩溃；瓦解；衰竭；暴跌；倒塌；崩溃
colleague	同事；同僚
collect	收集；采集；聚集；搜集；领取；收款
collection	收集；采集；收藏品；募捐；作品集
collective	集体的；共同的；集体；集团
college	学院；大学；高等专科学校；学会
colonial	殖民地的；殖民主义的；殖民地居民
color	颜色；色彩；彩色；颜料；给…着色；染色
column	柱；支柱；纵队；专栏；栏；列
combination	结合；联合；混合；组合；密码锁
combine	结合；联合；合并；化合；联合收割机
come	来；来到；到达；出现；发生；变得
comedy	喜剧；喜剧性；喜剧作品；有趣的事情
comfort	舒适；安逸；安慰；慰藉；使舒适；安慰
comfortable	舒适的；舒服的；安逸的；自在的
command	命令；指挥；控制；掌握；命令；司令部
commander	指挥官；司令官；指挥者
comment	评论；意见；注释；评注；发表评论；注释
commercial	商业的；商务的；贸易的；广告节目
commission	委员会；佣金；手续费；委托；委任
commit	犯；做；干；承诺；保证；使承担义务
commitment	承诺；保证；承担义务；投入；奉献
committee	委员会；全体委员
common	普通的；常见的；共同的；共有的；公共的
communicate	交流；交际；传达；沟通；通信
communication	交流；交际；传达；通信；联系；交通
community	社区；社会；团体；界；群落；共同体
company	公司；商号；陪伴；同伴；连队
compare	比较；对照；比作；相比；比得上
comparison	比较；对照；比拟；比喻
compete	竞争；比赛；对抗；参赛
competition	竞争；角逐；比赛；竞赛；竞争者
competitive	竞争的；有竞争力的；好胜的
competitor	竞争者；对手；参赛者
complain	抱怨；投诉；诉苦；发牢骚
complaint	抱怨；投诉；诉苦；疾病；病痛
complete	完全的；完整的；完成的；结束的；完成；结束
completely	完全地；彻底地；完整地
complex	复杂的；难懂的；复合的；综合体；情结
complicated	复杂的；难懂的；结构复杂的
component	组成部分；成分；部件；元件；组成的
compose	创作；作曲；组成；构成；使平静；使镇静
composition	创作；作曲；作文；构成；成分；构图
comprehensive	全面的；综合的；广泛的；综合学校
computer	计算机；电脑；电子计算机
concentrate	集中；专心；浓缩；浓缩液；精矿
concentration	集中；专心；浓缩；浓度；专注
concept	概念；观念；思想；设想
concern	关心；担心；关系；涉及；公司；企业
concerned	关心的；担心的；有关的；涉及的
concert	音乐会；演奏会；一致；和谐；协同安排
conclude	结束；终止；得出结论；断定；缔结；议定
conclusion	结论；推论；结束；结尾；缔结；议定
concrete	具体的；实在的；混凝土；混凝土制的；用混凝土浇筑
condition	条件；状况；状态；环境；情况；使适应；调节
conduct	处理；管理；引导；指挥；导电；行为；举止
conference	会议；讨论会；协商会；联合会
confidence	信心；信任；信赖；自信；把握；秘密
confident	自信的；有信心的；确信的；有把握的
confirm	证实；确认；批准；认可；使坚定
conflict	冲突；矛盾；斗争；战斗；抵触；冲突
confront	面对；面临；对抗；遭遇；正视
confusion	混乱；混淆；困惑；慌乱
Congress	国会；议会；代表大会
congressional	国会的；议会的；立法的
connect	连接；联结；联系；接通；使有联系
connection	连接；联结；联系；关系；连接物；人脉
consciousness	意识；知觉；觉悟；自觉；观念
consensus	一致；共识；意见一致
consequence	结果；后果；重要性；重大；推论
conservative	保守的；守旧的；保守党；保守者
consider	考虑；细想；认为；以为；把…看作；考虑到
considerable	相当大的；相当多的；重要的；值得考虑的
consideration	考虑；深思；体谅；关心；报酬；因素
consist	由…组成；构成；在于；存在于
consistent	一致的；连贯的；始终如一的；持续的
constant	不变的；恒定的；经常的；持续的；常数；恒量
constantly	不断地；时常地；持续地
constitute	组成；构成；设立；建立；任命；选定
constitutional	宪法的；合乎宪法的；体质的；保健的；保健散步
construct	建造；建设；构筑；创立；构思；建造物；构想
construction	建造；建设；建筑；结构；建筑物；解释
consultant	顾问；咨询者；会诊医生；顾问医师
consume	消耗；消费；吃；喝；毁灭；烧毁
consumer	消费者；用户；顾客；消耗者
consumption	消耗；消费；消耗量；消费量；肺病；肺结核
contact	接触；联系；交往；联络；联系；接触
contain	包含；容纳；含有；装有；克制；抑制
container	容器；集装箱；货柜；货箱
contemporary	当代的；同时代的；同年龄的；同代人；当代人
content	内容；目录；容量；含量；满意的；满足的
contest	比赛；竞赛；竞争；争夺；争辩；质疑
context	上下文；语境；环境；背景；来龙去脉
continue	继续；持续；延续；依然；连续；延伸
continued	继续的；持续的；延续的；连续的
contract	合同；契约；承包；收缩；缩小；感染
contrast	对比；对照；差异；悬殊；对比；形成对照
contribute	贡献；捐献；投稿；有助于；促成
contribution	贡献；捐献；捐款；投稿；投稿文章；促成作用
control	控制；支配；管理；抑制；克制；控制；支配
controversial	有争议的；引起争论的
controversy	争论；辩论；争议；争吵
convention	大会；会议；惯例；常规；公约；协议
conventional	常规的；传统的；普通的；常见的
conversation	会话；谈话；交谈；对话
convert	转换；转变；转化；使改变信仰；皈依
conviction	定罪；判决；确信；坚定的信仰；信念
convince	使确信；使信服；说服；劝服
cook	烹调；煮；做饭；厨师；厨子
cookie	饼干；小甜饼；家伙；人
cooking	烹饪；烹调；烹饪的；烹饪用的
cool	凉爽的；冷静的；酷；棒；使变凉；使冷静
cooperation	合作；协作；配合；协助
cop	警察；警官；抓；抓住；遭受；忍受
cope	应付；处理；对付；竞争；对抗
copy	复制；复印；模仿；抄写；副本；一册；一份
core	核心；果核；精髓；中心；最重要的；核心的
corn	玉米；谷物；谷粒；鸡眼；老茧
corner	角；角落；街角；困境；使走投无路；垄断
corporate	公司的；法人的；团体的；共同的
corporation	公司；法人；社团；市政当局
correct	正确的；恰当的；端正的；改正；纠正；修正
correspondent	记者；通讯员；通信者；对应的
cost	价钱；成本；费用；代价；花费；使付出代价
cotton	棉花；棉；棉布；棉线；棉质的
couch	长沙发；睡椅；表达；措辞；使躺下
could	能够；可以；可能；会（can的过去式）
council	委员会；理事会；会议；政务会
counselor	顾问；律师；辅导员；咨询员
count	数；计算；重要；有价值；计数；总数；伯爵
counter	柜台；计数器；相反；对立；反驳；抵消
country	国家；国土；乡下；乡村；地区；区域
county	郡；县
couple	一对；一双；夫妇；情侣；几个；连接；结合
courage	勇气；胆量；勇敢；无畏
course	课程；进程；过程；一道菜；路线；航线
court	法院；法庭；球场；宫廷；院子；讨好；求爱
cousin	堂兄弟；堂姐妹；表兄弟；表姐妹
cover	覆盖；遮盖；掩饰；掩护；封面；盖子；报道
coverage	覆盖范围；新闻报道；保险范围；承保范围
cow	母牛；奶牛；母兽；恐吓；威胁
crack	裂缝；裂纹；破裂；裂缝；重击；打；（使）破裂
craft	工艺；手艺；船；飞机；航天器；精心制作；手工制作
crash	碰撞；坠毁；崩溃；（使）猛撞；猛冲；轰隆声
crazy	疯狂的；荒唐的；狂热的；迷恋的；疯子；怪人
cream	奶油；乳脂；奶油色；精英；精华；奶油色的
create	创造；创作；创建；造成；引起；建立
creation	创造；创作；创建；作品；创造物；宇宙
creative	创造性的；有创造力的；创作的；创意人员
creature	生物；动物；人；创造物；产物
credit	信用；信誉；信贷；学分；信任；归功于；相信
crew	全体船员；全体机组人员；队；组；一起工作的人
crime	罪；罪行；犯罪；罪恶；可耻的事
criminal	犯罪的；刑事的；罪犯；犯人
crisis	危机；危难时刻；决定性时刻；紧要关头
criteria	标准；准则；尺度（criterion的复数）
critic	批评家；评论家；批评者；挑剔者
critical	批评的；批判的；关键的；危急的；重要的
criticism	批评；批判；指责；评论
criticize	批评；批判；指责；评论
crop	庄稼；作物；收成；剪短；裁剪；收割；收获
cross	十字；十字形；交叉；穿过；越过；杂交；生气的
crowd	人群；群众；一伙人；挤满；聚集；催促；催逼
crucial	决定性的；关键性的；至关重要的
cry	哭；哭泣；叫喊；喊叫；叫声；喊声；口号；呼吁
cultural	文化的；文化上的；教养的；人文的
culture	文化；文明；教养；修养；培养；栽培
cup	杯子；一杯；奖杯；奖杯；使成杯状；用手捧
curious	好奇的；好求知的；奇特的；稀奇的
current	当前的；现在的；通用的；流行的；水流；电流；趋势
currently	当前；目前；现在；时下
curriculum	课程；全部课程；课程设置
custom	习惯；风俗；惯例；定制的；定做的
customer	顾客；主顾；客户；买主
cut	切；割；剪；砍；割伤；减少；缩短；切口；伤口
cycle	循环；周期；自行车；摩托车；骑自行车；循环
dad	爸爸；爹爹
daily	每日的；日常的；日报；每日；天天
damage	损害；损伤；毁坏；赔偿费；损害赔偿金
dance	跳舞；舞蹈；舞动；跳动；跳舞；舞会；舞曲
danger	危险；风险；危险物；威胁；危害
dangerous	危险的；有风险的；不安全的
dare	敢；胆敢；敢于面对；激将；激；挑战；胆量；勇气
dark	黑暗的；暗的；深色的；黑色的；黑暗；暗处；黄昏
darkness	黑暗；阴暗；深色；邪恶；罪恶
data	数据；资料；信息；事实（datum的复数）
date	日期；日子；约会；枣；注明日期；确定年代；约会
daughter	女儿；女孩；姑娘；儿媳；养女
day	天；日；白天；白昼；时期；时代；一天的工作时间
dead	死的；无生命的；呆板的；完全地；绝对地；死者
deal	交易；协议；大量；许多；发牌；分配；处理；应付
dealer	商人；经销商；贩子；发牌者；毒品贩子
dear	亲爱的；昂贵的；高价的；亲爱的人；哎呀；天哪
death	死；死亡；死神；毁灭；终止
debate	辩论；争论；讨论；辩论会；辩论赛；辩论；争论
debt	债；债务；欠款；人情债；情义
decade	十年；十年期
decide	决定；决心；确定；解决；判决
decision	决定；决心；抉择；决议；果断；坚定
deck	甲板；层面；装饰；布置；（纸牌的）一副；平台
declare	宣布；宣告；声明；断言；申报；表明态度
decline	下降；减少；衰退；衰落；婉言拒绝；谢绝
decrease	减少；减小；降低；减少额；减小量
deep	深的；深远的；深奥的；深沉的；非常；大大地；深；深处
deeply	深深地；深刻地；深沉地；非常；极其
deer	鹿
defeat	战胜；击败；挫败；使落空；失败；战败；挫败
defend	保卫；防守；辩护；为…辩解；防护；抵御
defendant	被告
defense	防御；保卫；辩护；答辩；防御工事；防御物
